Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
"click dashboard/api/users/dealerships/98/franchises-1,051",50,159,145,181,6.74,0.00%,23.27747,7.68,12.57,338
"click dashboard/api/sit/dashboard/stats?dealershipId=98&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-1,052",50,159,146,175,6.8,0.00%,23.36449,7.71,13.92,338
"click dashboard/api/sit/dashboard/graph?days=true&dealershipId=98&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-1,053",50,159,145,172,6.28,0.00%,23.29916,7.69,14.11,338
"click dashboard/api/sit/dashboard/heatmap?dealershipId=98&startDate=2023-03-29&endDate=2023-03-29-1,054",50,160,147,180,7.65,0.00%,23.2342,7.67,13.59,338
"click dashboard/api/sit/dashboard/reasons?dealershipId=98&franchiseId=&startDate=2023-03-29&endDate=2023-03-29-1,055",50,160,146,189,7.84,0.00%,23.09469,7.62,13.8,338
"click dashboard/api/users/dealerships/98/franchises-1,056",50,185,152,274,31.47,0.00%,22.45173,13.53,49.44,617
"click dashboard/api/sit/dashboard/graph-1,057",50,186,151,297,29.1,0.00%,22.21235,7.11,50.36,328
"click dashboard/api/sit/dashboard/heatmap-1,058",50,260,154,633,138.99,0.00%,18.99696,24.12,42.68,1300
"click dashboard/api/sit/dashboard/stats-1,059",50,508,170,1767,470.05,0.00%,11.88778,4.68,26.84,403
"click dashboard/api/sit/dashboard/reasons-1,060",50,493,156,1552,465.41,0.00%,8.95576,7.55,20.24,863
"search data/api/sit/dashboard/graph?days=true&dealershipId=98&franchiseId=&startDate=2023-03-01&endDate=2023-03-31-1,062",50,210,147,570,94.24,0.00%,8.72144,2.88,5.28,338
"search data/api/sit/dashboard/stats?dealershipId=98&franchiseId=&startDate=2023-03-01&endDate=2023-03-31-1,063",50,200,148,575,80.59,0.00%,8.54701,2.82,5.09,338
"search data/api/sit/dashboard/reasons?dealershipId=98&franchiseId=&startDate=2023-03-01&endDate=2023-03-31-1,064",50,194,145,308,48.46,0.00%,8.3682,2.76,5,338
"search data/api/sit/dashboard/stats-1,065",50,1618,310,3465,837.22,0.00%,5.3984,2.16,12.19,410
"search data/api/sit/dashboard/graph-1,066",50,754,237,1645,331.68,0.00%,4.73306,2.4,10.73,519
"search data/api/sit/dashboard/reasons-1,067",50,1248,178,2624,535.74,0.00%,4.77966,4.21,10.8,902
"click total visit KPI/api/users/dealerships/98/franchises-1,072",50,226,147,381,69.94,0.00%,4.82021,1.59,2.6,338
"click total visit KPI/api/sit?&dateEnd=2023-03-31&dateStart=2023-03-01&dealershipId=98&franchiseId=&leadStatus=&pageNumber=1&pageSize=10-1,073",50,241,150,548,95.75,0.00%,4.70943,1.55,2.91,338
"click total visit KPI/api/users/dealerships/98/franchises-1,074",50,837,226,1671,346.56,0.00%,4.68516,2.82,10.32,617
"click total visit KPI/api/sit-1,075",50,1537,333,2615,591.16,0.00%,4.38289,14.61,9.98,3413
"click total visit KPI/api/sit/notes/reasons-1,076",50,264,161,690,109.33,0.00%,4.65766,1.54,2.45,338
"click total visit KPI/api/sit/notes/reasons-1,077",50,305,149,846,169.41,0.00%,4.70323,2.4,10.29,522
"click add notes button/api/sit/notes?&visitId=13347-1,079",50,247,157,485,90.16,0.00%,4.70544,1.55,2.5,338
"click add notes button/api/sit/12698?franchiseId=&dealershipId=98&visitId=13347-1,080",50,299,158,674,128.63,0.00%,4.57917,1.51,2.56,338
"click add notes button/api/sit/templates?dateEnd=Fri%20Mar%2031%202023%2023%3A59%3A59%20GMT%2B0500%20(Pakistan%20Standard%20Time)&dateStart=Wed%20Mar%2001%202023%2000%3A00%3A00%20GMT%2B0500%20(Pakistan%20Standard%20Time)&dealershipId=98&franchiseId=&leadStatus=&pageNumber=1&pageSize=50-1,081",50,262,146,547,107.67,0.00%,4.58337,1.51,3.5,338
"click add notes button/api/sit/12698-1,082",50,1022,165,2554,634.82,0.00%,4.56413,2.55,10.14,571.5
"click add notes button/api/sit/notes-1,083",50,512,161,1370,387.09,0.00%,5.19751,13.36,11.4,2633
"click add notes button/api/sit/templates-1,084",50,698,321,1708,369.92,0.00%,5.42123,103.22,13.02,19497
"click add notes button/api/sit/templates/53-1,085",50,227,154,471,86.16,0.00%,5.85274,1.93,3.07,338
"click add notes button/api/sit/templates/53-1,086",50,385,161,1582,284.37,0.00%,5.89345,4.66,12.89,809
"add notes content from call template/api/sit/templates/66-1,087",50,203,152,472,76.83,0.00%,6.21195,2.05,3.26,338
"add notes content from call template/api/sit/templates/66-1,088",50,435,158,1416,316.19,0.00%,6.42756,3.39,14.06,540
"save notes/api/sit/notes-1,091",50,175,151,383,41.17,0.00%,7.66754,2.63,4.08,351
"save notes/api/sit/notes-1,092",50,582,172,2910,700.36,0.00%,5.53526,3.05,13.53,564
"save notes/api/users/dealerships-1,093",50,197,153,501,68.58,0.00%,6.34679,2.09,3.34,338
"save notes/api/users/dealerships/98/franchises-1,094",50,193,154,594,81.17,0.00%,6.16371,2.03,3.33,338
"save notes/api/sit?&dateEnd=2023-03-31&dateStart=2023-03-01&dealershipId=98&franchiseId=&leadStatus=&pageNumber=1&pageSize=10-1,095",50,204,152,424,68.93,0.00%,5.98372,1.98,3.69,338
"save notes/api/sit/templates?dateEnd=Fri%20Mar%2031%202023%2023%3A59%3A59%20GMT%2B0500%20(Pakistan%20Standard%20Time)&dateStart=Wed%20Mar%2001%202023%2000%3A00%3A00%20GMT%2B0500%20(Pakistan%20Standard%20Time)&dealershipId=98&franchiseId=&leadStatus=&pageNumber=1&pageSize=50-1,096",50,208,154,403,56.58,0.00%,5.99592,1.98,4.57,338
"save notes/api/sit/notes/reasons-1,097",50,209,147,649,96.93,0.00%,5.97443,1.97,3.14,338
"save notes/api/sit/12698?franchiseId=&dealershipId=98&visitId=13347-1,098",50,198,149,405,65.41,0.00%,5.84659,1.93,3.27,338
"save notes/api/sit/notes?&visitId=13347-1,099",50,282,149,643,178.66,0.00%,5.65867,1.87,3.01,338
"save notes/api/sit/templates/53-1,100",50,231,149,490,98.5,0.00%,5.76502,1.9,3.03,338
"save notes/api/sit/templates/66-1,101",50,231,149,633,88.08,0.00%,5.80518,1.92,3.05,338
"save notes/api/users/dealerships-1,102",50,510,159,2218,495.42,0.00%,4.70278,3.65,10.29,794
"save notes/api/users/dealerships/98/franchises-1,103",50,612,159,1824,588.16,0.00%,4.61638,2.78,10.16,617
"save notes/api/sit/notes/reasons-1,104",50,416,148,1259,340.18,0.00%,4.61212,2.35,10.09,522
"save notes/api/sit/12698-1,105",50,780,158,3281,729.45,0.00%,4.36034,3.32,9.68,780.5
"save notes/api/sit-1,106",50,1508,285,3407,847.89,0.00%,3.9733,13.24,9.05,3413
"save notes/api/sit/notes-1,107",50,1022,321,2512,470.52,0.00%,3.86399,123.21,8.47,32651.3
"save notes/api/sit/templates-1,108",50,818,300,1974,428.51,0.00%,3.80981,72.54,9.15,19497
"save notes/api/sit/templates/53-1,109",50,791,161,1993,507.32,0.00%,3.8506,3.04,8.42,809
"save notes/api/sit/templates/66-1,110",50,700,160,2186,692.79,0.00%,3.93484,2.06,8.61,535
"click generate report/api/sit/download?dateEnd=Fri%20Mar%2031%202023%2023%3A59%3A59%20GMT%2B0500%20(Pakistan%20Standard%20Time)&dateStart=Wed%20Mar%2001%202023%2000%3A00%3A00%20GMT%2B0500%20(Pakistan%20Standard%20Time)&dealershipId=98&franchiseId=&leadStatus=&pageNumber=1&pageSize=10&download=csv-1,112",50,599,454,981,124.23,0.00%,3.83347,1.27,2.97,338
"click generate report/api/sit/download-1,113",50,2621,1880,3734,450.86,0.00%,3.41413,752.79,8.37,225783
TOTAL,5100,439,145,7313,664.5,0.02%,103.32881,360.03,167,3567.9
